City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,illintsi,49.1048,29.2177,4.44,81,100,7.54,UA,1708651763
212,pangody,65.85,74.4859,-21.26,100,97,3.77,RU,1708651763
213,kismayo,-0.3582,42.5454,26.73,85,98,6.28,SO,1708651763
214,ta`u,-14.2336,-169.5144,28.84,75,62,5.12,AS,1708651763
215,isafjordur,66.0755,-23.124,-2.24,94,100,12.95,IS,1708651763
216,khulm,36.6974,67.6983,4.67,67,5,2.25,AF,1708651701
217,kulhudhuffushi,6.6221,73.07,27.34,75,58,3.6,MV,1708651763
218,georgetown,5.4112,100.3354,28.96,79,20,2.57,MY,1708651669
219,belmonte,-15.8631,-38.8828,26.04,90,100,3.82,BR,1708651763
220,grants,35.1473,-107.8514,6.13,26,0,3.09,US,1708651764
221,bocana de paiwas,12.7857,-85.1227,22.02,48,0,1.53,NI,1708651764
222,timimoun,29.2639,0.231,10.21,32,0,2.06,DZ,1708651764
223,west bay,19.3667,-81.4167,23.04,53,20,4.12,KY,1708651647
224,port nelson,23.6333,-74.8333,21.89,55,0,4.09,BS,1708651764
225,chonchi,-42.6128,-73.8092,11.56,92,12,1.21,CL,1708651764
226,holyhead,53.3062,-4.6321,6.0,75,100,8.23,GB,1708651764
227,port-de-bouc,43.4,4.9833,10.88,78,0,5.66,FR,1708651764
228,afaahiti,-17.75,-149.2833,29.93,78,87,1.53,PF,1708651765
229,whitehorse,60.7161,-135.0538,2.43,63,75,9.26,CA,1708651765
230,debark',13.1561,37.8981,12.89,37,100,3.23,ET,1708651765
231,happy valley-goose bay,53.3168,-60.3315,-0.83,64,100,4.63,CA,1708651765
232,turkmenbasy,40.0222,52.9552,3.43,93,100,3.09,TM,1708651765
233,haiku-pauwela,20.9219,-156.3051,23.36,84,69,4.02,US,1708651765
234,st. john's,47.5649,-52.7093,0.08,96,100,8.23,CA,1708651765
235,sarmanovo,55.2553,52.5891,-17.62,98,14,2.44,RU,1708651765
236,khandud,36.9513,72.318,-22.93,78,43,1.16,AF,1708651765
237,amos,48.5669,-78.1162,-1.68,87,100,3.64,CA,1708651753
238,vorgashor,67.5833,63.95,-10.98,95,100,5.1,RU,1708651766
239,thurso,58.5927,-3.5259,3.25,73,6,4.72,GB,1708651766
240,avanigadda,16.0215,80.9181,24.41,91,32,1.34,IN,1708651766
241,san patricio,28.017,-97.5169,22.4,74,81,2.54,US,1708651766
242,shiyan,32.6475,110.7781,-3.04,76,100,1.26,CN,1708651766
243,ushuaia,-54.8,-68.3,2.81,93,75,7.2,AR,1708651766
244,palwal,28.15,77.3333,11.22,25,0,1.94,IN,1708651766
245,murun-kuren,49.6342,100.1625,-25.83,94,10,0.84,MN,1708651766
246,slave lake,55.2834,-114.769,2.99,52,20,3.09,CA,1708651766
247,bamboo flat,11.7,92.7167,22.05,94,12,1.03,IN,1708651766
248,jacmel,18.2342,-72.5347,24.91,61,0,3.58,HT,1708651767
249,murghob,38.1702,73.9667,-28.63,89,29,2.15,TJ,1708651767
250,rocky mountain house,52.3668,-114.9188,7.06,36,3,4.12,CA,1708651767
251,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,86,20,6.71,RU,1708651767
